"plant ID"	GH location	Gall	tissue	plate	column	row
1284	freeze dried in -20C	X	leaf	4	4	G
1288	freeze dried in -20C	X	leaf	4	4	H
1297	freeze dried in -20C	X	leaf	4	5	A
1300	freeze dried in -20C	X	leaf	4	5	B
1311	freeze dried in -20C	X	leaf	4	5	C
1326	freeze dried in -20C	X	leaf	4	5	D
1335	freeze dried in -20C	X	leaf	4	5	E
1338	freeze dried in -20C	X	leaf	4	5	F
1341	freeze dried in -20C	X	leaf	4	5	G
1388	freeze dried in -20C	X	leaf	4	5	H
1397	freeze dried in -20C	X	leaf	4	6	A
1399	freeze dried in -20C	X	leaf	4	6	B
1408	freeze dried in -20C	X	leaf	4	6	C
1409	freeze dried in -20C	X	leaf	4	6	D
1414	freeze dried in -20C	X	leaf	4	6	E
1415	freeze dried in -20C	X	leaf	4	6	F
1418	freeze dried in -20C	X	leaf	4	6	G
1426	freeze dried in -20C	X	leaf	4	6	H
1440	freeze dried in -20C	X	leaf	4	7	A
1450	freeze dried in -20C	X	leaf	4	7	B
1458	freeze dried in -20C	X	leaf	4	7	C
1504	freeze dried in -20C	X	leaf	4	7	D
BLANK	BLANK	BLANK	BLANK	4	7	E
BLANK	BLANK	BLANK	BLANK	4	7	F
BLANK	BLANK	BLANK	BLANK	4	7	G
BLANK	BLANK	BLANK	BLANK	4	7	H
CL04	DNA -20C	RNAseq exp	leaf	4	8	A
CL05	DNA -20C	RNAseq exp	leaf	4	8	B
PD18	DNA -20C	RNAseq exp	leaf	4	8	C
PD35	DNA -20C	RNAseq exp	leaf	4	8	D
10-5_1	seed sent from Cumbie/Arbogen		meg	4	8	E
10-5_2	seed sent from Cumbie/Arbogen		meg	4	8	F
10-5_3	seed sent from Cumbie/Arbogen		meg	4	8	G
10-5_4	seed sent from Cumbie/Arbogen		meg	4	8	H
10-5_5	seed sent from Cumbie/Arbogen		meg	4	9	A
10-5_6	seed sent from Cumbie/Arbogen		meg	4	9	B
10-5_7	seed sent from Cumbie/Arbogen		meg	4	9	C
10-5_8	seed sent from Cumbie/Arbogen		meg	4	9	D
10-5_9	seed sent from Cumbie/Arbogen		meg	4	9	E
10-5_10	seed sent from Cumbie/Arbogen		meg	4	9	F
10-5_11	seed sent from Cumbie/Arbogen		meg	4	9	G
10-5_12	seed sent from Cumbie/Arbogen		meg	4	9	H
10-5_13	seed sent from Cumbie/Arbogen		meg	4	10	A
10-5_14	seed sent from Cumbie/Arbogen		meg	4	10	B
10-5_15	seed sent from Cumbie/Arbogen		meg	4	10	C
10-5_16	seed sent from Cumbie/Arbogen		meg	4	10	D
10-5_17	seed sent from Cumbie/Arbogen		meg	4	10	E
10-5_18	seed sent from Cumbie/Arbogen		meg	4	10	F
10-5_19	seed sent from Cumbie/Arbogen		meg	4	10	G
10-5_20	seed sent from Cumbie/Arbogen		meg	4	10	H
10-5_21	seed sent from Cumbie/Arbogen		meg	4	11	A
10-5_22	seed sent from Cumbie/Arbogen		meg	4	11	B
10-5_23	seed sent from Cumbie/Arbogen		meg	4	11	C
10-5_24	seed sent from Cumbie/Arbogen		meg	4	11	D
10-5_25	seed sent from Cumbie/Arbogen		meg	4	11	E
10-5_26	seed sent from Cumbie/Arbogen		meg	4	11	F
10-5_27	seed sent from Cumbie/Arbogen		meg	4	11	G
10-5_28	seed sent from Cumbie/Arbogen		meg	4	11	H
10-5_29	seed sent from Cumbie/Arbogen		meg	4	12	A
10-5_30	seed sent from Cumbie/Arbogen		meg	4	12	B
10-5_31	seed sent from Cumbie/Arbogen		meg	4	12	C
10-5_32	seed sent from Cumbie/Arbogen		meg	4	12	D
