sample	sample_long	sample_type	num_pooled
P03_WE06	P03_WE06_i5-510_i7-35_S961	galled_10_5_prog	1
P03_WE07	P03_WE07_i5-510_i7-44_S962	galled_10_5_prog	1
P03_WE08	P03_WE08_i5-510_i7-04_S963	galled_10_5_prog	1
P03_WE09	P03_WE09_i5-510_i7-24_S964	galled_10_5_prog	1
P03_WE10	P03_WE10_i5-510_i7-61_S965	galled_10_5_prog	1
P03_WE11	P03_WE11_i5-510_i7-13_S966	galled_10_5_prog	1
P03_WE12	P03_WE12_i5-510_i7-76_S967	galled_10_5_prog	1
P03_WF01	P03_WF01_i5-510_i7-28_S968	galled_10_5_prog	1
P03_WF02	P03_WF02_i5-510_i7-78_S969	galled_10_5_prog	1
P03_WF03	P03_WF03_i5-510_i7-79_S970	galled_10_5_prog	1
P03_WF04	P03_WF04_i5-510_i7-45_S971	galled_10_5_prog	1
P03_WF05	P03_WF05_i5-510_i7-92_S972	galled_10_5_prog	1
P03_WF06	P03_WF06_i5-510_i7-60_S973	galled_10_5_prog	1
P03_WF07	P03_WF07_i5-510_i7-33_S974	galled_10_5_prog	1
P03_WF08	P03_WF08_i5-510_i7-53_S975	galled_10_5_prog	1
P03_WF09	P03_WF09_i5-510_i7-46_S976	galled_10_5_prog	1
P03_WF10	P03_WF10_i5-510_i7-26_S977	galled_10_5_prog	1
P03_WF11	P03_WF11_i5-510_i7-51_S978	galled_10_5_prog	1
P03_WF12	P03_WF12_i5-510_i7-66_S979	galled_10_5_prog	1
P03_WG01	P03_WG01_i5-510_i7-84_S980	galled_10_5_prog	1
P03_WG02	P03_WG02_i5-510_i7-12_S981	galled_10_5_prog	1
P03_WG03	P03_WG03_i5-510_i7-22_S982	galled_10_5_prog	1
P03_WG04	P03_WG04_i5-510_i7-10_S983	galled_10_5_prog	1
P03_WG05	P03_WG05_i5-510_i7-69_S984	galled_10_5_prog	1
P03_WG06	P03_WG06_i5-510_i7-14_S985	galled_10_5_prog	1
P03_WG07	P03_WG07_i5-510_i7-18_S986	galled_10_5_prog	1
P03_WG08	P03_WG08_i5-510_i7-68_S987	galled_10_5_prog	1
P03_WG09	P03_WG09_i5-510_i7-41_S988	galled_10_5_prog	1
P03_WG10	P03_WG10_i5-510_i7-37_S989	galled_10_5_prog	1
P03_WG11	P03_WG11_i5-510_i7-96_S990	galled_10_5_prog	1
P03_WG12	P03_WG12_i5-510_i7-42_S991	galled_10_5_prog	1
P03_WH01	P03_WH01_i5-510_i7-11_S992	galled_10_5_prog	1
P03_WH02	P03_WH02_i5-510_i7-32_S993	galled_10_5_prog	1
P03_WH03	P03_WH03_i5-510_i7-88_S994	galled_10_5_prog	1
P03_WH04	P03_WH04_i5-510_i7-73_S995	galled_10_5_prog	1
P03_WH05	P03_WH05_i5-510_i7-15_S996	galled_10_5_prog	1
P03_WH06	P03_WH06_i5-510_i7-49_S997	galled_10_5_prog	1
P03_WH07	P03_WH07_i5-510_i7-01_S998	galled_10_5_prog	1
P03_WH08	P03_WH08_i5-510_i7-85_S999	galled_10_5_prog	1
P03_WH09	P03_WH09_i5-510_i7-83_S1000	galled_10_5_prog	1
P03_WH10	P03_WH10_i5-510_i7-34_S1001	galled_10_5_prog	1
P03_WH11	P03_WH11_i5-510_i7-95_S1002	galled_10_5_prog	1
P03_WH12	P03_WH12_i5-510_i7-56_S1003	galled_10_5_prog	1
P04_WA01	P04_WA01_i5-511_i7-59_S1004	galled_10_5_prog	1
P04_WA02	P04_WA02_i5-511_i7-27_S1005	galled_10_5_prog	1
P04_WA03	P04_WA03_i5-511_i7-82_S1006	galled_10_5_prog	1
P04_WA04	P04_WA04_i5-511_i7-07_S1007	galled_10_5_prog	1
P04_WA05	P04_WA05_i5-511_i7-38_S1008	galled_10_5_prog	1
P04_WA06	P04_WA06_i5-511_i7-74_S1009	galled_10_5_prog	1
P04_WA07	P04_WA07_i5-511_i7-77_S1010	galled_10_5_prog	1
P04_WB01	P04_WB01_i5-511_i7-31_S1016	galled_10_5_prog	1
P04_WB02	P04_WB02_i5-511_i7-39_S1017	galled_10_5_prog	1
P04_WB03	P04_WB03_i5-511_i7-02_S1018	galled_10_5_prog	1
P04_WB04	P04_WB04_i5-511_i7-20_S1019	galled_10_5_prog	1
P04_WB05	P04_WB05_i5-511_i7-90_S1020	galled_10_5_prog	1
P04_WB06	P04_WB06_i5-511_i7-06_S1021	galled_10_5_prog	1
P04_WB07	P04_WB07_i5-511_i7-29_S1022	galled_10_5_prog	1
P04_WC01	P04_WC01_i5-511_i7-65_S1028	galled_10_5_prog	1
P04_WC02	P04_WC02_i5-511_i7-67_S1029	galled_10_5_prog	1
P04_WC03	P04_WC03_i5-511_i7-40_S1030	galled_10_5_prog	1
P04_WC04	P04_WC04_i5-511_i7-19_S1031	galled_10_5_prog	1
P04_WC05	P04_WC05_i5-511_i7-81_S1032	galled_10_5_prog	1
P04_WC06	P04_WC06_i5-511_i7-03_S1033	galled_10_5_prog	1
P04_WC07	P04_WC07_i5-511_i7-62_S1034	galled_10_5_prog	1
P04_WD01	P04_WD01_i5-511_i7-52_S1040	galled_10_5_prog	1
P04_WD02	P04_WD02_i5-511_i7-72_S1041	galled_10_5_prog	1
P04_WD03	P04_WD03_i5-511_i7-30_S1042	galled_10_5_prog	1
P04_WD04	P04_WD04_i5-511_i7-91_S1043	galled_10_5_prog	1
P04_WD05	P04_WD05_i5-511_i7-71_S1044	galled_10_5_prog	1
P04_WD06	P04_WD06_i5-511_i7-50_S1045	galled_10_5_prog	1
P04_WD07	P04_WD07_i5-511_i7-86_S1046	galled_10_5_prog	1
P04_WE01	P04_WE01_i5-511_i7-48_S1052	galled_10_5_prog	1
P04_WE02	P04_WE02_i5-511_i7-89_S1053	galled_10_5_prog	1
P04_WE03	P04_WE03_i5-511_i7-87_S1054	galled_10_5_prog	1
P04_WE04	P04_WE04_i5-511_i7-21_S1055	galled_10_5_prog	1
P04_WE05	P04_WE05_i5-511_i7-94_S1056	galled_10_5_prog	1
P04_WE06	P04_WE06_i5-511_i7-35_S1057	galled_10_5_prog	1
P04_WF01	P04_WF01_i5-511_i7-28_S1062	galled_10_5_prog	1
P04_WF02	P04_WF02_i5-511_i7-78_S1063	galled_10_5_prog	1
P04_WF03	P04_WF03_i5-511_i7-79_S1064	galled_10_5_prog	1
P04_WF04	P04_WF04_i5-511_i7-45_S1065	galled_10_5_prog	1
P04_WF05	P04_WF05_i5-511_i7-92_S1066	galled_10_5_prog	1
P04_WF06	P04_WF06_i5-511_i7-60_S1067	galled_10_5_prog	1
P04_WG01	P04_WG01_i5-511_i7-84_S1072	galled_10_5_prog	1
P04_WG02	P04_WG02_i5-511_i7-12_S1073	galled_10_5_prog	1
P04_WG03	P04_WG03_i5-511_i7-22_S1074	galled_10_5_prog	1
P04_WG04	P04_WG04_i5-511_i7-10_S1075	galled_10_5_prog	1
P04_WG05	P04_WG05_i5-511_i7-69_S1076	galled_10_5_prog	1
P04_WG06	P04_WG06_i5-511_i7-14_S1077	galled_10_5_prog	1
P04_WH01	P04_WH01_i5-511_i7-11_S1082	galled_10_5_prog	1
P04_WH02	P04_WH02_i5-511_i7-32_S1083	galled_10_5_prog	1
P04_WH03	P04_WH03_i5-511_i7-88_S1084	galled_10_5_prog	1
P04_WH04	P04_WH04_i5-511_i7-73_S1085	galled_10_5_prog	1
P04_WH05	P04_WH05_i5-511_i7-15_S1086	galled_10_5_prog	1
P04_WH06	P04_WH06_i5-511_i7-49_S1087	galled_10_5_prog	1
